timestamp;asset_id;asset_name;asset_type;parent_asset;ldom;channel;ip_address;technical_comm;stability_status;loss_count;window_seconds;latency_ms;message
2026-09-23 17:00:00;ws11;WS11;WORKSTATION;;BOTH;A;192.0.2.53;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws11;WS11;WORKSTATION;;BOTH;B;192.0.2.54;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws12;WS12;WORKSTATION;;BOTH;A;192.0.2.43;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws12;WS12;WORKSTATION;;BOTH;B;192.0.2.44;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws13;WS13;WORKSTATION;;BOTH;A;192.0.2.55;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws13;WS13;WORKSTATION;;BOTH;B;192.0.2.56;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws21;WS21;WORKSTATION;;BOTH;A;192.0.2.57;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws21;WS21;WORKSTATION;;BOTH;B;192.0.2.58;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws22;WS22;WORKSTATION;;BOTH;A;192.0.2.51;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws22;WS22;WORKSTATION;;BOTH;B;192.0.2.52;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws23;WS23;WORKSTATION;;BOTH;A;192.0.2.45;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws23;WS23;WORKSTATION;;BOTH;B;192.0.2.46;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws24;WS24;WORKSTATION;;BOTH;A;192.0.2.47;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws24;WS24;WORKSTATION;;BOTH;B;192.0.2.48;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws25;WS25;WORKSTATION;;BOTH;A;192.0.2.49;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;ws25;WS25;WORKSTATION;;BOTH;B;192.0.2.50;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cons1;CONS1;PRODIX;WS12;BOTH;A;192.0.2.29;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cons1;CONS1;PRODIX;WS12;BOTH;B;192.0.2.30;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cons5;CONS5;PRODIX;WS13;BOTH;A;192.0.2.31;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cons5;CONS5;PRODIX;WS13;BOTH;B;192.0.2.32;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm1;CPTM1;PRODIX;WS23;BOTH;A;192.0.2.33;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm1;CPTM1;PRODIX;WS23;BOTH;B;192.0.2.34;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm12;CPTM12;PRODIX;WS22;BOTH;A;192.0.2.41;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm12;CPTM12;PRODIX;WS22;BOTH;B;192.0.2.42;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm2;CPTM2;PRODIX;WS24;BOTH;A;192.0.2.35;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm2;CPTM2;PRODIX;WS24;BOTH;B;192.0.2.36;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm3;CPTM3;PRODIX;WS25;BOTH;A;192.0.2.37;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm3;CPTM3;PRODIX;WS25;BOTH;B;192.0.2.38;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm4;CPTM4;PRODIX;WS21;BOTH;A;192.0.2.39;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;cptm4;CPTM4;PRODIX;WS21;BOTH;B;192.0.2.40;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;sme3;SME3;PRODIX;WS11;BOTH;A;192.0.2.27;OK;OK;0;30;2;Canal sample operacional.
2026-09-23 17:00:00;sme3;SME3;PRODIX;WS11;BOTH;B;192.0.2.28;OK;OK;0;30;2;Canal sample operacional.
