timestamp;asset_id;logical_asset_id;asset_name;asset_type;parent_asset;ldom;ip_address;technical_comm;health_status;operational_role;redundancy_group;redundancy_conflict;message
2026-07-02 16:30:00;ILOM1;ILOM1;Chassi ILOM 1;ILOM;N/A;N/A;192.0.2.1;OK;OK;NAO_APLICAVEL;NONE;false;ILOM comunicando normalmente
2026-07-02 16:30:00;ILOM2;ILOM2;Chassi ILOM 2;ILOM;N/A;N/A;192.0.2.2;OK;OK;NAO_APLICAVEL;NONE;false;ILOM comunicando normalmente
2026-07-02 16:30:00;CONTROL_DOMAIN_1;CONTROL_DOMAIN_1;Control Domain 1;CONTROL_DOMAIN;ILOM1;N/A;192.0.2.3;OK;OK;NAO_APLICAVEL;NONE;false;Control Domain operacional
2026-07-02 16:30:00;CONTROL_DOMAIN_2;CONTROL_DOMAIN_2;Control Domain 2;CONTROL_DOMAIN;ILOM2;N/A;192.0.2.4;OK;OK;NAO_APLICAVEL;NONE;false;Control Domain operacional
2026-07-02 16:30:00;LDOM1;LDOM1;LDOM 1;LDOM;CONTROL_DOMAIN_1;LDOM1;192.0.2.5;OK;OK;NAO_APLICAVEL;NONE;false;LDOM operacional
2026-07-02 16:30:00;LDOM2;LDOM2;LDOM 2;LDOM;CONTROL_DOMAIN_2;LDOM2;192.0.2.6;OK;OK;NAO_APLICAVEL;NONE;false;LDOM operacional
2026-07-02 16:30:00;SFT1;SFT1;Servidor SFT1;FIXED_SERVER;LDOM1;LDOM1;192.0.2.10;OK;OK;ATIVO;SFT_PAIR;false;Servidor principal em operação
2026-07-02 16:30:00;SFT2;SFT2;Servidor SFT2;FIXED_SERVER;LDOM2;LDOM2;192.0.2.11;OK;OK;STANDBY;SFT_PAIR;false;Servidor redundante em espera
2026-07-02 16:30:00;METROSP44;METROSP44;Servidor METROSP44;FIXED_SERVER;LDOM1;LDOM1;192.0.2.20;OK;OK;STANDBY;METROSP_PAIR;false;Servidor redundante em espera
2026-07-02 16:30:00;METROSP45;METROSP45;Servidor METROSP45;FIXED_SERVER;LDOM2;LDOM2;192.0.2.21;OK;OK;ATIVO;METROSP_PAIR;false;Servidor principal em operação
2026-07-02 16:30:00;CPTM2_IHM_LDOM1;CPTM2_IHM;IHM Móvel CPTM2 - LDOM1;MOBILE_IHM;LDOM1;LDOM1;192.0.2.102;OK;OK;ATIVO;CPTM2_IHM;false;IHM lógica ativa na LDOM1
2026-07-02 16:30:00;CPTM2_IHM_LDOM2;CPTM2_IHM;IHM Móvel CPTM2 - LDOM2;MOBILE_IHM;LDOM2;LDOM2;192.0.2.102;OK;OK;STANDBY;CPTM2_IHM;false;Mesma IHM lógica em standby na LDOM2 usando o mesmo IP
2026-07-02 16:35:00;CPTM2_IHM_LDOM1;CPTM2_IHM;IHM Móvel CPTM2 - LDOM1;MOBILE_IHM;LDOM1;LDOM1;192.0.2.102;OK;CRITICAL;ATIVO;CPTM2_IHM;true;Conflito de IP: mesma IHM ativa nas duas LDOMs, aplicação Prodix oscilando
2026-07-02 16:35:00;CPTM2_IHM_LDOM2;CPTM2_IHM;IHM Móvel CPTM2 - LDOM2;MOBILE_IHM;LDOM2;LDOM2;192.0.2.102;OK;CRITICAL;ATIVO;CPTM2_IHM;true;Conflito de IP: mesma IHM ativa nas duas LDOMs, aplicação Prodix abrindo e fechando
